"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Масштабы","97289","Алкогольное и наркотическое опьянение при совершении преступления","%","Российская Федерация","","наркотическое опьянение","% среди граждан, совершивших преступления","н/д","н/д","2,6","2,2","1,3","0,9","0,80","н/д","н/д","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о лицах, совершивших преступления\"". Алкогольное опьянение: \""в состоянии опьянения алкогольного\"".  Наркотическое опьянение: \""в состоянии опьянения наркотического\""."
"Финансы","97292","Соотношение зарплат сотрудников правопорядка к зарплатам в регионе","рубль","Российская Федерация","","средняя зарплата сотрудника правопорядка","","50816,0","48129,3","49185,2","49790,8","51126","51776,5","54478,0","58339,7","63161,1","н/д","н/д","Данные по зарплатам сотрудников правопорядка: Данные статистического наблюдения по форме № 1-Т \""Сведения о численности, заработной плате и движении работников\"", Деятельность по обеспечению общественного порядка и безопасности. Данные по средней зарплате по региону: Росстат"
"Финансы","97293","Соотношение зарплат сотрудников правопорядка к зарплатам в регионе","рубль","Российская Федерация","","средняя зарплата по региону","","32495,0","34030,0","36709,0","39167,0","43724,0","47867,0","51344,0","56501,2","64091,625","н/д","н/д","Данные по зарплатам сотрудников правопорядка: Данные статистического наблюдения по форме № 1-Т \""Сведения о численности, заработной плате и движении работников\"", Деятельность по обеспечению общественного порядка и безопасности. Данные по средней зарплате по региону: Росстат"
"Ресурсы","97294","Численность работников МВД","человек","Российская Федерация","","","всего человек","656750","656377","724632","717684","701247","н/д","н/д","н/д","н/д","н/д","н/д","Показатель доступен только до 2018 года включительно, за 2019 и 2020 год МВД отказался предоставлять данные с формулировкой  «запрашиваемые сведения не входят в перечень информации для размещения в открытом доступе в информационно-телекоммуникационной сети Интернет». До 2018 года - данные по форме 1-Т (ГМС) \""Сведения о численности и оплате труда работников государственных органов и органов местного самоуправления по категориям персонала\"" - \""численность работников на конец отчетного периода, фактически (МВД)\"".  Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014). Данные по Санкт-Петербургу и Ленинградской области показаны общей суммой"
"Ресурсы","97295","Численность работников МВД","чел./100000","Российская Федерация","","","на 100 000 населения","457,1","448,8","494,5","488,9","477,4","н/д","н/д","н/д","н/д","н/д","н/д","Показатель доступен только до 2018 года включительно, за 2019 и 2020 год МВД отказался предоставлять данные с формулировкой  «запрашиваемые сведения не входят в перечень информации\
для размещения в открытом доступе в информационно-телекоммуникационной сети Интернет». До 2018 года - данные по форме 1-Т (ГМС) \""Сведения о численности и оплате труда работников государственных органов и органов местного самоуправления по категориям персонала\"" - \""численность работников на конец отчетного периода, фактически (МВД)\"".  Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014). Данные по Санкт-Петербургу и Ленинградской области показаны общей суммой"
"Результаты","97296","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","случай","Российская Федерация","","всего","случаев","1185028","1254706","1189770","1117801","1087983","1052441","1031987","н/д","113304","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97297","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Российская Федерация","","всего","","54,1","52,5","55,1","54,3","54,63","51,98942","50,5","51,4","52,6","51,2","47,1","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97298","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Российская Федерация","","тяжкие и особо тяжкие","","50","50","41","40","38","34","38","41,24","46,08","44,99","42,20","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97299","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Российская Федерация","","кражи","","38,63","36,99","39,08","38,1","37,76","35,22416","35,3675","37,6","40,3","н/д","н/д","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Результаты","97300","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Российская Федерация","","убийства","","85,59","84,52","90,26","88,11","88,88","84,9981","90,03811276","87,80655828","86,4","78,17887931","н/д","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
