"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Масштабы","97238","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Санкт-Петербург","","мужчины","на 100 000  соотв. населения","747","670,88","654,38","667,08","657,08","622,46","788,57","812","790","812","808",""
"Масштабы","97239","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Санкт-Петербург","","женщины","на 100 000  соотв. населения","555","526","480","492","473","469","713","695","711","707","761","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97240","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Санкт-Петербург","","несовершеннолетние","на 100 000  соотв. населения","151","117","175","201","206","190","188","241","246","272","278","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97241","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","погибло","всего человек","373","508","484","471","451","356","396","393","305","302","306","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97242","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","тяжкий вред здоровью","всего человек","679","979","869","876","924","854","814","825","739","742","782","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97243","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","убито","всего человек","248","197","205","170","165","127","159","125","98","87","н/д","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97244","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Санкт-Петербург","","погибло","на 100 000 населения","7","10","9","9","8","7","7","7","6","5","5","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97245","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Санкт-Петербург","","тяжкий вред здоровью","на 100 000 населения","13","19","17","17","17","16","15","15","14","13","14","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97246","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Санкт-Петербург","","убито","на 100 000 населения","5","4","4","3","3","2","3","2","2","2","н/д","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97247","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","погибшие от насильственных преступлений","всего человек","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","138","134","121","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97248","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","погибшие от насильственных преступлений","на 100 000 населения","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","2,57","2,39","2,16","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97249","Потерпевшие: погибли и тяжкий вред здоровью","человек","Санкт-Петербург","","","всего человек","1052","1487","1353","1347","1375","1210","1210","1218","1044","1044","1088","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97250","Потерпевшие: погибли и тяжкий вред здоровью (на 100 000 населения)","чел./100000","Санкт-Петербург","","","на 100 000 населения","20,5","28,6","25,9","25,5","25,7","22,5","22,4","22,6","19,4","18,6","19,4","Данные статистического наблюдения по форме 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью (на 100 000 населения).\
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97251","Изнасилование и покушение на изнасилование","случай","Санкт-Петербург","","","преступлений","н/д","н/д","69","51","68","60","42","68","56","51","74","Изнасилование и покушение на изнасилование ст. 30 и 131 УК РФ. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного населения на 1 января."
"Масштабы","97252","Изнасилование и покушение на изнасилование","случай","Санкт-Петербург","","","на 100 000 населения","н/д","н/д","1,32","0,97","1,27","1,1","0,8","1,3","1,0","0,9","1,3","Изнасилование и покушение на изнасилование ст. 30 и 131 УК РФ. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного населения на 1 января."
"Масштабы","97253","Топ-3 преступлений","случай","Санкт-Петербург","","кражи","всего случаев","23481","22628","20636","19407","19174","19227","23496","22849","23378","21411","18415","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97254","Топ-3 преступлений","случай","Санкт-Петербург","","мошенничество","всего случаев","н/д","н/д","2544","4014","3832","3862","13435","15465","15853","н/д","н/д","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97255","Топ-3 преступлений","случай","Санкт-Петербург","","незаконный оборот наркотиков","всего случаев","14149","13592","13821","12802","11497","8240","7705","7557","6570","7136","6637","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97256","Топ-3 преступлений","%","Санкт-Петербург","","кражи","% от всех преступлений","41,6","40,1","39,4","37,2","37,3","39,5","38,3","36","37","32","28","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97257","Топ-3 преступлений","%","Санкт-Петербург","","мошенничество","% от всех преступлений","н/д","н/д","4,9","7,7","7,5","7,9","21,9","24,6","25,2","н/д","н/д","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97258","Топ-3 преступлений","%","Санкт-Петербург","","незаконный оборот наркотиков","% от всех преступлений","25,1","24,1","26,4","24,6","22,4","16,9","12,6","12,0","10,4","10,6","10,2","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97259","Топ-3 преступлений","случай","Санкт-Петербург","","кражи","на 100 тысяч населения","458","436","395","367","358","357","435","424,4","434,7","382,3","329,0","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97260","Топ-3 преступлений","случай","Санкт-Петербург","","мошенничество","на 100 тысяч населения","н/д","н/д","48,7","76,0","71,6","71,7","248,9","287,2","294,80","н/д","н/д","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97261","Топ-3 преступлений","случай","Санкт-Петербург","","незаконный оборот наркотиков","на 100 тысяч населения","275,7045968","261,8029967","264,4818196","242,3896339","214,8194999","153,0491893","142,7363588","140,3514116","122,1756641","127,4275702","118,5652197","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97262","Доля киберпреступлений в структуре преступности","случай","Санкт-Петербург","","всего","киберпреступлений","н/д","н/д","н/д","н/д","761","2213","19488","21989","20663","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97263","Доля киберпреступлений в структуре преступности","случай","Санкт-Петербург","","мошенничество","киберпреступлений","н/д","н/д","н/д","н/д","352","630","8326","12497","12389","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97264","Доля киберпреступлений в структуре преступности","случай","Санкт-Петербург","","кражи","киберпреступлений","н/д","н/д","н/д","н/д","121","1286","8226","5998","3913","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97265","Доля киберпреступлений в структуре преступности","%","Санкт-Петербург","","всего","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","1,48","4,55","31,79","35,04","32,8","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97266","Доля киберпреступлений в структуре преступности","%","Санкт-Петербург","","мошенничество","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","9,2","16,3","62,0","65,6","78,1","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97267","Доля киберпреступлений в структуре преступности","%","Санкт-Петербург","","кражи","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","0,6","6,7","35,0","26,3","16,7","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97268","Доля киберпреступлений от всех киберпреступлений в отношении пенсионеров по старости","%","Санкт-Петербург","","","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","16,70","15,17","н/д","н/д","Отношение числа киберпреступлений в отношении  пенсионеров по старости к общему числу киберпреступлений. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97269","Потерпевшие от киберпреступлений по полу","чел./100000","Санкт-Петербург","","мужчины","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","336","н/д","н/д","н/д",""
"Масштабы","97270","Потерпевшие от киберпреступлений по полу","чел./100000","Санкт-Петербург","","женщины","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","340","н/д","н/д","н/д",""
"Масштабы","97271","Граждане, совершившие преступления","человек","Санкт-Петербург","","всего","человек","23314","24093","21707","21164","21439","19506","18635","19719","19747","19514","18401","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97272","Граждане, совершившие преступления","человек","Санкт-Петербург","","мужчины","человек","19992","20541","18624","18228","18279","16507","15577","16592","16446","15878","14821",""
"Масштабы","97273","Граждане, совершившие преступления","человек","Санкт-Петербург","","женщины","человек","3322","3552","3083","2936","3160","2999","3058","3127","3301","3636","3580","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97274","Граждане, совершившие преступления","человек","Санкт-Петербург","","несовершеннолетние","человек","854","793","646","572","517","427","432","395","333","339","391","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97275","Граждане, совершившие преступления","чел./100000","Санкт-Петербург","","всего","на 100 000 соотв. населения","454","464","415","401","401","362","345","366","367","348","329","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97276","Граждане, совершившие преступления","чел./100000","Санкт-Петербург","","мужчины","на 100 000 соотв. населения","858,9","871,9","788,7","763,70","754,68","677,0919216","637,608","681,1","675,3","628,7","587,4",""
"Масштабы","97277","Граждане, совершившие преступления","чел./100000","Санкт-Петербург","","женщины","на 100 000 соотв. населения","118","125","108","101","108","102","103","106","112","118","116","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97278","Граждане, совершившие преступления","чел./100000","Санкт-Петербург","","несовершеннолетние","на 100 000 соотв. населения","114","101","79","66","58","46","46","41","34","36","42","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97279","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет","%","Санкт-Петербург","","","","0,6","0,6","0,5","0,4","0,4","0,3","0,3","0,2","0,2","0,2","0,2","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97280","Совершили тяжкие и особо тяжкие преступления","человек","Санкт-Петербург","","","всего человек","6342","6025","5871","5946","6047","5254","4 884","5454","5437","н/д","н/д","Данные стат. наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"".  В форме дается отдельное число \""Выявлено лиц, совершивших преступления\"" по тяжким и особо тяжким преступлениям, однако авторы исследования посчитали возможным складывать эти два показателя, т.к. уровень дублирования (лиц, проходящих по разным уголовным делам с разной степенью тяжести) крайне мало, что позволяет суммировать показатели."
"Масштабы","97281","Совершили тяжкие и особо тяжкие преступления","%","Санкт-Петербург","","","% среди граждан, совершивших преступления","27,2","25,0","27,0","28,1","28,2","26,9","26,2","27,7","27,5","н/д","н/д","Данные стат. наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"".  В форме дается отдельное число \""Выявлено лиц, совершивших преступления\"" по тяжким и особо тяжким преступлениям, однако авторы исследования посчитали возможным складывать эти два показателя, т.к. уровень дублирования (лиц, проходящих по разным уголовным делам с разной степенью тяжести) крайне мало, что позволяет суммировать показатели."
"Масштабы","97282","Характеристика граждан, совершивших преступления","человек","Санкт-Петербург","","без постоянного дохода","всего человек","14925","15150","13211","12870","12767","11904","12103","12916","13135","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Без постоянного дохода: \""Выявлено лиц, совершивших преступления, не имеющих постоянного источника дохода\"".  Повторно: \""Выявлено лиц, ранее совершавших преступления\""."
"Масштабы","97283","Характеристика граждан, совершивших преступления","человек","Санкт-Петербург","","повторно","всего человек","8649","8686","8294","8787","8852","8360","7867","7851","8251","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Без постоянного дохода: \""Выявлено лиц, совершивших преступления, не имеющих постоянного источника дохода\"".  Повторно: \""Выявлено лиц, ранее совершавших преступления\""."
"Масштабы","97284","Характеристика граждан, совершивших преступления","%","Санкт-Петербург","","без постоянного дохода","% среди граждан, совершивших преступления","64,0","62,9","60,9","60,8","59,6","61,0","64,9","65,5","66,5","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Без постоянного дохода: \""Выявлено лиц, совершивших преступления, не имеющих постоянного источника дохода\"".  Повторно: \""Выявлено лиц, ранее совершавших преступления\""."
"Масштабы","97285","Характеристика граждан, совершивших преступления","%","Санкт-Петербург","","повторно","% среди граждан, совершивших преступления","37,1","36,1","38,2","41,5","41,3","42,9","42,2","39,8","41,8","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Без постоянного дохода: \""Выявлено лиц, совершивших преступления, не имеющих постоянного источника дохода\"".  Повторно: \""Выявлено лиц, ранее совершавших преступления\""."
"Масштабы","97286","Алкогольное и наркотическое опьянение при совершении преступления","человек","Санкт-Петербург","","алкогольное опьянение","всего человек","н/д","н/д","2 833","3 067","3 175","3 105","2 751","н/д","н/д","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о лицах, совершивших преступления\"". Алкогольное опьянение: \""в состоянии опьянения алкогольного\"".  Наркотическое опьянение: \""в состоянии опьянения наркотического\""."
"Масштабы","97287","Алкогольное и наркотическое опьянение при совершении преступления","человек","Санкт-Петербург","","наркотическое опьянение","всего человек","н/д","н/д","2 766","3 188","1 378","365","274","н/д","н/д","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о лицах, совершивших преступления\"". Алкогольное опьянение: \""в состоянии опьянения алкогольного\"".  Наркотическое опьянение: \""в состоянии опьянения наркотического\""."
"Масштабы","97288","Алкогольное и наркотическое опьянение при совершении преступления","%","Санкт-Петербург","","алкогольное опьянение","% среди граждан, совершивших преступления","н/д","н/д","13,0","14,0","15,0","16,0","15,0","н/д","н/д","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о лицах, совершивших преступления\"". Алкогольное опьянение: \""в состоянии опьянения алкогольного\"".  Наркотическое опьянение: \""в состоянии опьянения наркотического\""."
"Масштабы","97289","Алкогольное и наркотическое опьянение при совершении преступления","%","Санкт-Петербург","","наркотическое опьянение","% среди граждан, совершивших преступления","н/д","н/д","12,7","15,1","6,4","1,9","1,50","н/д","н/д","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о лицах, совершивших преступления\"". Алкогольное опьянение: \""в состоянии опьянения алкогольного\"".  Наркотическое опьянение: \""в состоянии опьянения наркотического\""."
"Финансы","97290","Расходы региона на обеспечение безопасности и правоохранительную деятельность","млн рублей","Санкт-Петербург","","","","3513,41","3342,24","3368,87","3588,99","3942,23","4403,86","н/д","н/д","н/д","н/д","н/д","Данные Росказны, Расходы консолидированного бюджета субъекта Российской Федерации и территориального государственного внебюджетного фонда на Национальную безопасность и правоохранительную деятельность"
"Финансы","97292","Соотношение зарплат сотрудников правопорядка к зарплатам в регионе","рубль","Санкт-Петербург","","средняя зарплата сотрудника правопорядка","","47654,1","43333,9","44784,7","48695,6","56530","55878,7","61304,5","68690,8","73763","н/д","н/д","Данные по зарплатам сотрудников правопорядка: Данные статистического наблюдения по форме № 1-Т \""Сведения о численности, заработной плате и движении работников\"", Деятельность по обеспечению общественного порядка и безопасности. Данные по средней зарплате по региону: Росстат"
"Финансы","97293","Соотношение зарплат сотрудников правопорядка к зарплатам в регионе","рубль","Санкт-Петербург","","средняя зарплата по региону","","40697,0","44187,0","48703,0","53740,0","60421,0","65872,0","68667,0","75920,2","84463,83333","н/д","н/д","Данные по зарплатам сотрудников правопорядка: Данные статистического наблюдения по форме № 1-Т \""Сведения о численности, заработной плате и движении работников\"", Деятельность по обеспечению общественного порядка и безопасности. Данные по средней зарплате по региону: Росстат"
"Ресурсы","97294","Численность работников МВД","человек","Санкт-Петербург","","","всего человек","24676","24147","26396","26207","26626","н/д","н/д","н/д","н/д","н/д","н/д","Показатель доступен только до 2018 года включительно, за 2019 и 2020 год МВД отказался предоставлять данные с формулировкой  «запрашиваемые сведения не входят в перечень информации для размещения в открытом доступе в информационно-телекоммуникационной сети Интернет». До 2018 года - данные по форме 1-Т (ГМС) \""Сведения о численности и оплате труда работников государственных органов и органов местного самоуправления по категориям персонала\"" - \""численность работников на конец отчетного периода, фактически (МВД)\"".  Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014). Данные по Санкт-Петербургу и Ленинградской области показаны общей суммой"
"Ресурсы","97295","Численность работников МВД","чел./100000","Санкт-Петербург","","","на 100 000 населения","358","347","377","370","372","н/д","н/д","н/д","н/д","н/д","н/д","Показатель доступен только до 2018 года включительно, за 2019 и 2020 год МВД отказался предоставлять данные с формулировкой  «запрашиваемые сведения не входят в перечень информации\
для размещения в открытом доступе в информационно-телекоммуникационной сети Интернет». До 2018 года - данные по форме 1-Т (ГМС) \""Сведения о численности и оплате труда работников государственных органов и органов местного самоуправления по категориям персонала\"" - \""численность работников на конец отчетного периода, фактически (МВД)\"".  Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014). Данные по Санкт-Петербургу и Ленинградской области показаны общей суммой"
